"room_id","survey_id","host_id","room_type","country","city","borough","neighborhood","reviews","overall_satisfaction","accommodates","bedrooms","bathrooms","price","minstay","name","last_modified","latitude","longitude","location"
7920541,1429,12243051,"Entire home/apt",NA,"Boston",NA,"South End",57,5,4,1,NA,139,NA,"Classic 1BR in South End",2017-07-10 16:19:10,42.34579,-71.063437,"0101000020E6100000CE16105A0FC451C055A4C2D8422C4540"
815639,1429,3637081,"Entire home/apt",NA,"Boston",NA,"North End",353,4.5,2,1,NA,125,NA,"MedaevalModernHaven in the NorthEnd",2017-07-10 16:19:10,42.367581,-71.056113,"0101000020E610000059F8FA5A97C351C0C4D0EAE40C2F4540"
1426754,1429,5578043,"Entire home/apt",NA,"Boston",NA,"North End",128,4.5,2,1,NA,129,NA,"Boston Best furnished Studio (H2a)",2017-07-10 16:19:04,42.364824,-71.053707,"0101000020E61000003E247CEF6FC351C0E065868DB22E4540"
14522917,1429,75634340,"Entire home/apt",NA,"Boston",NA,"East Boston",110,5,5,3,NA,125,NA,"#2 New Modern 3BD Near Airport and 'T' to Downtown",2017-07-10 16:18:59,42.378221,-71.030312,"0101000020E6100000492BBEA1F0C151C089D4B48B69304540"
508017,1429,2503703,"Entire home/apt",NA,"Boston",NA,"Beacon Hill",233,5,2,1,NA,140,NA,"Beautiful Studio in Beacon Hill",2017-07-10 16:18:59,42.359145,-71.067851,"0101000020E61000000F80B8AB57C451C0CEC29E76F82D4540"
11758169,1429,62572217,"Entire home/apt",NA,"Boston",NA,"South Boston",56,4.5,8,2,NA,125,NA,"LOCATION! Modern Boston Home",2017-07-10 16:18:58,42.338704,-71.053091,"0101000020E6100000902DCBD765C351C01F8315A75A2B4540"
14168664,1429,14685544,"Entire home/apt",NA,"Boston",NA,"East Boston",61,4.5,6,2,NA,139,NA,"Classy 2 Bedrooms Apartment near Boston Airport",2017-07-10 16:18:56,42.379419,-71.021529,"0101000020E610000099BA2BBB60C151C0923D42CD90304540"
4020650,1429,17194624,"Entire home/apt",NA,"Boston",NA,"Back Bay",91,4,1,0,NA,132,NA,"VERY SMALL STUDIO FOR ONE",2017-07-10 16:18:56,42.352273,-71.082567,"0101000020E6100000A52E19C748C551C0C4211B48172D4540"
12052288,1429,31655122,"Entire home/apt",NA,"Boston",NA,"Jamaica Plain",117,5,5,1,NA,140,NA,"The City Cabin (2 blocks to train)",2017-07-10 16:18:51,42.316273,-71.102157,"0101000020E6100000AE8383BD89C651C0CDCD37A27B284540"
1458081,1429,1431134,"Entire home/apt",NA,"Boston",NA,"East Boston",64,5,8,3,NA,127,NA,"Beautiful 4BD/2BA Gem! Near airport, city, subway!",2017-07-10 16:18:49,42.371117,-71.033398,"0101000020E61000001E705D3123C251C0ACFE08C3802F4540"
