"INCIDENT_NUMBER","OFFENSE_CODE","OFFENSE_CODE_GROUP","OFFENSE_DESCRIPTION","DISTRICT","REPORTING_AREA","SHOOTING","OCCURRED_ON_DATE","YEAR","MONTH","DAY_OF_WEEK","HOUR","UCR_PART","STREET","Lat","Long","Location"
"I172091486","03201","Property Lost","PROPERTY - LOST","A1",121,NA,2017-10-31 23:00:00,2017,10,"Tuesday",23,"Part Three","WARRENTON ST",42.35066174,-71.06602232,"(42.35066174, -71.06602232)"
"I172091455","03201","Property Lost","PROPERTY - LOST","B3",439,NA,2017-11-01 18:00:00,2017,11,"Wednesday",18,"Part Three","BLUE HILL AVE",42.29056142,-71.08926028,"(42.29056142, -71.08926028)"
"I172091355","00301","Robbery","ROBBERY - STREET","A7",30,NA,2017-11-01 13:00:00,2017,11,"Wednesday",13,"Part One","FRANKFORT ST",42.37018984,-71.03473306,"(42.37018984, -71.03473306)"
"I172091352","03201","Property Lost","PROPERTY - LOST","D4",905,NA,2017-11-01 12:06:00,2017,11,"Wednesday",12,"Part Three","E BROOKLINE ST",42.33926764,-71.07208833,"(42.33926764, -71.07208833)"
"I172091346","03201","Property Lost","PROPERTY - LOST","E18",540,NA,2017-10-21 15:00:00,2017,10,"Saturday",15,"Part Three","HILLIS RD",42.24951467,-71.13259099,"(42.24951467, -71.13259099)"
"I172091328","03201","Property Lost","PROPERTY - LOST","D4",619,NA,2017-10-26 10:00:00,2017,10,"Thursday",10,"Part Three","SYMPHONY RD",42.34295335,-71.08833139,"(42.34295335, -71.08833139)"
"I172091314","03208","Property Lost","PROPERTY - MISSING","D4",166,NA,2017-07-01 12:00:00,2017,7,"Saturday",12,"Part Three","WALTHAM ST",42.3419598,-71.06913092,"(42.34195980, -71.06913092)"
"I172091287","03201","Property Lost","PROPERTY - LOST","E18",530,NA,2017-11-01 09:59:00,2017,11,"Wednesday",9,"Part Three","W MILTON ST",42.23861212,-71.13691336,"(42.23861212, -71.13691336)"
"I172091270","03201","Property Lost","PROPERTY - LOST","B2",NA,NA,2017-09-25 09:27:00,2017,9,"Monday",9,"Part Three","RUGGLES ST",NA,NA,"(0.00000000, 0.00000000)"
"I172091238","00301","Robbery","ROBBERY - STREET","A1",70,NA,2017-11-01 01:58:00,2017,11,"Wednesday",1,"Part One","CHARLES ST",42.3559928,-71.06923988,"(42.35599280, -71.06923988)"
"I172091193","00301","Robbery","ROBBERY - STREET","B3",408,NA,2017-10-31 20:43:00,2017,10,"Tuesday",20,"Part One","TEMPLE ST",42.27229134,-71.07222782,"(42.27229134, -71.07222782)"
"I172091172","00301","Robbery","ROBBERY - STREET","C11",362,NA,2017-10-31 20:10:00,2017,10,"Tuesday",20,"Part One","KENWOOD ST",42.29191251,-71.07049431,"(42.29191251, -71.07049431)"
"I172091160","03201","Property Lost","PROPERTY - LOST","A1",64,NA,2017-10-31 16:30:00,2017,10,"Tuesday",16,"Part Three","FRUIT ST",42.36240281,-71.06954652,"(42.36240281, -71.06954652)"
"I172091109","03201","Property Lost","PROPERTY - LOST","C6",203,NA,2017-10-29 23:50:00,2017,10,"Sunday",23,"Part Three","SUMMER ST",42.3465477,-71.04284093,"(42.34654770, -71.04284093)"
"I172091103","03201","Property Lost","PROPERTY - LOST","B2",276,NA,2017-10-31 17:19:00,2017,10,"Tuesday",17,"Part Three","WILLIAMS ST",42.33237733,-71.08237779,"(42.33237733, -71.08237779)"
"I172091087","03201","Property Lost","PROPERTY - LOST","A1",93,NA,2017-10-29 10:00:00,2017,10,"Sunday",10,"Part Three","UNION ST",42.36108179,-71.05698344,"(42.36108179, -71.05698344)"
"I172091003","03201","Property Lost","PROPERTY - LOST","E13",906,NA,2017-10-31 11:48:00,2017,10,"Tuesday",11,"Part Three","AMERICAN LEGION HWY",42.27531312,-71.11587798,"(42.27531312, -71.11587798)"
"I172091000","03201","Property Lost","PROPERTY - LOST","A7",33,NA,2017-10-31 11:00:00,2017,10,"Tuesday",11,"Part Three","COTTAGE ST",42.36802589,-71.0349944,"(42.36802589, -71.03499440)"
